Linear Model:
E=0.439404 Y=4.60064 U=3.6809
E=0.399364 Y=4.63729 U=3.72218
E=0.362706 Y=4.6704 U=3.75946
E=0.329597 Y=4.70062 U=3.79349
E=0.299383 Y=4.72797 U=3.82429
E=0.272026 Y=4.75289 U=3.85235
E=0.247109 Y=4.77548 U=3.8778
E=0.224516 Y=4.79604 U=3.90095
E=0.20396 Y=4.81469 U=3.92195
E=0.185306 Y=4.83166 U=3.94105
E=0.168344 Y=4.84706 U=3.9584
E=0.152944 Y=4.86105 U=3.97416
E=0.138947 Y=4.87376 U=3.98847
E=0.126235 Y=4.88532 U=4.00148
E=0.114682 Y=4.89581 U=4.0133
E=0.10419 Y=4.90534 U=4.02404
E=0.094655 Y=4.91401 U=4.03379
E=0.0859947 Y=4.92188 U=4.04265
E=0.078125 Y=4.92902 U=4.0507
E=0.0709772 Y=4.93552 U=4.05802
E=0.0644822 Y=4.94142 U=4.06466
E=0.0585823 Y=4.94678 U=4.0707
E=0.0532217 Y=4.95165 U=4.07618
E=0.0483518 Y=4.95607 U=4.08116
E=0.0439272 Y=4.96009 U=4.08569
E=0.0399079 Y=4.96374 U=4.0898
E=0.0362563 Y=4.96706 U=4.09354
E=0.032939 Y=4.97008 U=4.09693
E=0.0299249 Y=4.97281 U=4.10001
E=0.0271869 Y=4.9753 U=4.10282
E=0.0246992 Y=4.97756 U=4.10536
E=0.0224395 Y=4.97961 U=4.10767
E=0.0203862 Y=4.98148 U=4.10977
E=0.0185208 Y=4.98317 U=4.11168
E=0.0168266 Y=4.98471 U=4.11342
E=0.0152864 Y=4.98611 U=4.11499
E=0.0138884 Y=4.98738 U=4.11642
E=0.0126171 Y=4.98854 U=4.11772
E=0.0114627 Y=4.98959 U=4.1189
E=0.0104141 Y=4.99054 U=4.11998
E=0.00946045 Y=4.9914 U=4.12095
E=0.00859547 Y=4.99219 U=4.12184
E=0.00780869 Y=4.99291 U=4.12264
E=0.00709438 Y=4.99356 U=4.12337
E=0.00644493 Y=4.99414 U=4.12404
E=0.00585556 Y=4.99468 U=4.12464
E=0.0053196 Y=4.99517 U=4.12519
E=0.00483322 Y=4.99561 U=4.12569
E=0.00439072 Y=4.99601 U=4.12614
E=0.00398922 Y=4.99638 U=4.12655
